codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+25CB,○,WHITE CIRCLE,So,50,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+25CF,●,BLACK CIRCLE,So,529,LOOSE_OLANG | SLOT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+2605,★,BLACK STAR,So,10,LOOSE_OLANG | SLOT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+266A,♪,EIGHTH NOTE,So,6,SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+3000,　,IDEOGRAPHIC SPACE,Zs,4506,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+3001,、,IDEOGRAPHIC COMMA,Po,2370,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+3002,。,IDEOGRAPHIC FULL STOP,Po,34802,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+3007,〇,IDEOGRAPHIC NUMBER ZERO,Nl,7,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+300A,《,LEFT DOUBLE ANGLE BRACKET,Ps,253,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+300B,》,RIGHT DOUBLE ANGLE BRACKET,Pe,253,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+300C,「,LEFT CORNER BRACKET,Ps,328,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
